Event Sequence Number,Movement ID,Timestamp,Event Type,Container ID,Container Number,ISO Code,Size (TEU),Container Type,Load Status,Weight (MT),Weight Class,Yard Zone Type,Shipping Bill Number,Vessel ID,Voyage ID,POD,POD Priority,Expected Voyage DateTime,Actual Voyage DateTime,Cutoff DateTime,Type,Movement Type,From Location Type,From Location ID,To Location Type,To Location ID,Block ID,Stack ID,Tier Level,Equipment ID,Equipment Type,Stack Height After Move,Operator ID,Job ID,Planned Timestamp,Actual Timestamp,Delay Minutes,Exception Flag,Exception Reason,Reason for Movement,Container Status After Event,Dwell Time Since Last Event (min),Move Intent,Optimality Tag,Rehandle Flag,Rehandle Count,Total Dwell Time (min),Yard Utilization %,Block Utilization %,Congestion Level
139,MOV-509E952C5F,2025-02-15 09:36:38,Yard In,CNT-0003,APLU2721135,42G1,2,Dry,Full,31.2,Heavy,Land-Side,N/A,V033,VOY-2502-CLB-33,Colombo,1,2025-02-15 07:24:00,2025-02-15 08:13:00,2025-02-15 13:24:00,import_container,Yard In,Yard,Land-Side,Block,LS2-B1-18-07-4,LS2-B1,18-07,4,RTG-03,RTG,0,OP-008,JOB-9A89BC74,2025-02-15 09:36:00,2025-02-15 09:36:38,0,0,N/A,Initial yard positioning,In Transit,29,Planned,Optimal,0,0,29,76,30.7,Medium
140,MOV-591C47C15D,2025-02-15 09:49:06,Stack,CNT-0003,APLU2721135,42G1,2,Dry,Full,31.2,Heavy,Land-Side,N/A,V033,VOY-2502-CLB-33,Colombo,1,2025-02-15 07:24:00,2025-02-15 07:20:00,2025-02-15 13:24:00,import_container,Stack,Block,LS2-B1-18-07-4,Block,LS4-B3-19-05-1,LS4-B3,19-05,1,RTG-03,RTG,1,OP-007,JOB-9A89BC74,2025-02-15 09:49:00,2025-02-15 09:49:06,0,0,N/A,Yard stacking for storage,In Yard,13,Planned,Optimal,0,0,42,71.4,33.2,Medium
141,MOV-1F06148883,2025-02-15 09:58:10,Unstack,CNT-0003,APLU2721135,42G1,2,Dry,Full,31.2,Heavy,Land-Side,N/A,V033,VOY-2502-CLB-33,Colombo,1,2025-02-15 07:24:00,2025-02-15 06:54:00,2025-02-15 13:24:00,import_container,Unstack,Block,LS4-B3-19-05-1,Yard,LS4-B3-GROUND,LS4-B3,GROUND,0,RTG-04,RTG,0,OP-014,JOB-9A89BC74,2025-02-15 09:58:00,2025-02-15 09:58:10,0,0,N/A,Retrieval for repositioning,On Ground,9,Planned,Suboptimal,0,0,51,69.7,26.2,Medium
142,MOV-BB7F7D87C1,2025-02-15 10:27:50,Yard Shift,CNT-0003,APLU2721135,42G1,2,Dry,Full,31.2,Heavy,Land-Side,N/A,V033,VOY-2502-CLB-33,Colombo,1,2025-02-15 07:24:00,2025-02-15 08:14:00,2025-02-15 13:24:00,import_container,Transfer,Block,LS4-B3-GROUND,Block,SS3-B3-15-01-2,SS3-B3,15-01,2,RTG-03,RTG,0,OP-019,JOB-9A89BC74,2025-02-15 10:27:00,2025-02-15 10:27:50,0,0,N/A,Zone optimization movement,In Yard,29,Planned,Suboptimal,0,0,80,71.9,24.8,Medium
143,MOV-D808B21CB6,2025-02-15 10:42:50,Stack,CNT-0003,APLU2721135,42G1,2,Dry,Full,31.2,Heavy,Land-Side,N/A,V033,VOY-2502-CLB-33,Colombo,1,2025-02-15 07:24:00,2025-02-15 07:33:00,2025-02-15 13:24:00,import_container,Stack,Block,SS3-B3-15-01-2,Block,LS2-B6-05-03-2,LS2-B6,05-03,2,RTG-03,RTG,2,OP-020,JOB-9A89BC74,2025-02-15 10:42:00,2025-02-15 10:42:50,0,0,N/A,Yard stacking for storage,In Yard,15,Planned,Suboptimal,0,0,95,71.4,47,Medium
144,MOV-CEB4E671FC,2025-02-16 11:30:43,Gate In,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:42:00,2025-02-19 14:32:00,export_container,Gate In,Gate,GATE-8,Yard,Sea-Side,N/A,N/A,0,TT-09,internal truck,0,OP-017,JOB-3E1A5FBD,2025-02-16 11:30:00,2025-02-16 11:30:43,0,0,N/A,Export cargo arrival from CFS/ICD,In Transit,0,Planned,Optimal,0,0,0,70.2,32.7,Medium
145,MOV-0CA1AC7D19,2025-02-16 11:52:06,Yard In,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:34:00,2025-02-19 14:32:00,export_container,Yard In,Yard,Sea-Side,Block,SS2-B1-11-03-3,SS2-B1,11-03,3,TT-09,internal truck,0,OP-019,JOB-3E1A5FBD,2025-02-16 11:52:00,2025-02-16 11:52:06,0,0,N/A,Initial yard positioning,In Transit,22,Planned,Optimal,0,0,22,66.5,33.4,Medium
146,MOV-896D53F5A7,2025-02-16 12:03:43,Stack,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:03:00,2025-02-19 14:32:00,export_container,Stack,Block,SS2-B1-11-03-3,Block,SS1-B1-17-03-2,SS1-B1,17-03,2,RTG-06,RTG,2,OP-003,JOB-3E1A5FBD,2025-02-16 11:47:00,2025-02-16 12:03:43,16,1,Last-minute vessel cutoff change - timeline compressed,Last-minute vessel cutoff change - timeline compressed,In Yard,11,Forced,Suboptimal,0,0,33,58.7,50.5,Low
147,MOV-2BCC6B2C75,2025-02-16 12:08:14,Unstack,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:38:00,2025-02-19 14:32:00,export_container,Unstack,Block,SS1-B1-17-03-2,Yard,SS1-B1-GROUND,SS1-B1,GROUND,0,RTG-08,RTG,0,OP-009,JOB-3E1A5FBD,2025-02-16 12:08:00,2025-02-16 12:08:14,0,0,N/A,Retrieval for repositioning,On Ground,5,Planned,Suboptimal,0,0,38,57.5,24.8,Low
148,MOV-72BA200D0B,2025-02-16 12:29:07,Yard Shift,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:13:00,2025-02-19 14:32:00,export_container,Transfer,Block,SS1-B1-GROUND,Block,SS1-B1-20-06-1,SS1-B1,20-06,1,RTG-06,RTG,0,OP-020,JOB-3E1A5FBD,2025-02-16 12:29:00,2025-02-16 12:29:07,0,0,N/A,Zone optimization movement,In Yard,21,Planned,Suboptimal,0,0,59,56.2,24.8,Low
149,MOV-6FAC89B2DD,2025-02-16 12:36:42,Stack,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:11:00,2025-02-19 14:32:00,export_container,Stack,Block,SS1-B1-20-06-1,Block,SS1-B1-04-06-2,SS1-B1,04-06,2,RTG-08,RTG,2,OP-015,JOB-3E1A5FBD,2025-02-16 12:36:00,2025-02-16 12:36:42,0,0,N/A,Yard stacking for storage,In Yard,7,Planned,Optimal,0,0,66,58.8,24.8,Low
150,MOV-68B593E084,2025-02-16 12:45:49,Unstack,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:43:00,2025-02-19 14:32:00,export_container,Unstack,Block,SS1-B1-04-06-2,Yard,SS1-B1-GROUND,SS1-B1,GROUND,0,RTG-06,RTG,0,OP-009,JOB-3E1A5FBD,2025-02-16 12:45:00,2025-02-16 12:45:49,0,0,N/A,Retrieval for repositioning,On Ground,9,Planned,Suboptimal,0,0,75,60.3,24.8,Medium
151,MOV-27F42412F7,2025-02-16 13:00:52,Rehandle,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:35:00,2025-02-19 14:32:00,export_container,Transfer,Yard,SS1-B1-GROUND,Block,SS2-B1-13-03-1,SS2-B1,13-03,1,RTG-06,RTG,0,OP-006,JOB-3E1A5FBD,2025-02-16 13:00:00,2025-02-16 13:00:52,0,0,N/A,Blocking container removal for access,In Yard,15,Forced,Suboptimal,1,1,90,57.9,24.8,Low
152,MOV-99E887FB0D,2025-02-16 13:12:49,Stack,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:57:00,2025-02-19 14:32:00,export_container,Stack,Block,SS2-B1-13-03-1,Block,SS2-B1-06-06-4,SS2-B1,06-06,4,RTG-06,RTG,4,OP-007,JOB-3E1A5FBD,2025-02-16 13:12:00,2025-02-16 13:12:49,0,0,N/A,Yard stacking for storage,In Yard,12,Planned,Optimal,0,1,102,58.6,24.8,Low
153,MOV-D2D742EF91,2025-02-16 15:00:28,Pre-Staging,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 08:04:00,2025-02-19 14:32:00,export_container,Yard Out,Block,SS2-B1-06-06-4,Block,SS1-B1-03-01-3,SS1-B1,03-01,3,RTG-06,RTG,3,OP-016,JOB-3E1A5FBD,2025-02-16 15:00:00,2025-02-16 15:00:28,0,0,N/A,Vessel cutoff preparation - VOY-2502-KOC-39,In Yard,108,Planned,Optimal,0,1,210,79.2,62.7,Medium
154,MOV-31F8716B56,2025-02-16 15:19:09,Vessel Load,CNT-0045,OOLU6789409,22R1,1,Reefer,Full,20.2,Heavy,Sea-Side,SB599401,V039,VOY-2502-KOC-39,Kochi,3,2025-02-19 08:32:00,2025-02-19 09:31:00,2025-02-19 14:32:00,export_container,Vessel Load,Block,SS1-B1-03-01-3,Vessel,V039,SS1-B1,N/A,0,QC-02,QC,0,OP-011,JOB-3E1A5FBD,2025-02-16 15:19:00,2025-02-16 15:19:09,0,0,N/A,Loading to Kochi service,Loaded,19,Planned,Optimal,0,1,229,73.9,30.2,Medium
155,MOV-5DFD3BF330,2025-02-17 04:00:34,Gate Out,CNT-0003,APLU2721135,42G1,2,Dry,Full,31.2,Heavy,Land-Side,N/A,V033,VOY-2502-CLB-33,Colombo,1,2025-02-15 07:24:00,2025-02-15 07:57:00,2025-02-15 13:24:00,import_container,Gate Out,Block,LS2-B6-05-03-2,Gate,GATE-5,LS2-B6,N/A,0,TT-02,internal truck,0,OP-015,JOB-9A89BC74,2025-02-17 04:00:00,2025-02-17 04:00:34,0,0,N/A,Import delivery to consignee,Exited,2478,Planned,Optimal,0,0,2573,52.1,37.3,Low
156,MOV-DB6A5862A9,2025-02-19 06:24:27,Gate In,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:01:00,2025-02-22 14:23:00,export_container,Gate In,Gate,GATE-4,Yard,Land-Side,N/A,N/A,0,TT-01,internal truck,0,OP-011,JOB-9D2F3E7E,2025-02-19 06:24:00,2025-02-19 06:24:27,0,0,N/A,Export cargo arrival from CFS/ICD,In Transit,0,Planned,Optimal,0,0,0,58.8,24.8,Low
157,MOV-1AF5FA9F91,2025-02-19 07:23:25,Yard In,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 09:22:00,2025-02-22 14:23:00,export_container,Yard In,Yard,Land-Side,Block,LS3-B5-10-06-4,LS3-B5,10-06,4,RTG-01,RTG,0,OP-010,JOB-9D2F3E7E,2025-02-19 07:23:00,2025-02-19 07:23:25,0,0,N/A,Initial yard positioning,In Transit,59,Planned,Optimal,0,0,59,63.1,24.8,Medium
158,MOV-F866F53105,2025-02-19 07:36:00,Stack,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:31:00,2025-02-22 14:23:00,export_container,Stack,Block,LS3-B5-10-06-4,Block,LS4-B6-06-05-3,LS4-B6,06-05,3,RTG-01,RTG,3,OP-010,JOB-9D2F3E7E,2025-02-19 07:36:00,2025-02-19 07:36:00,0,0,N/A,Yard stacking for storage,In Yard,13,Planned,Optimal,0,0,72,59.2,58.2,Low
159,MOV-CC9AEF2C7F,2025-02-19 07:44:20,Unstack,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:52:00,2025-02-22 14:23:00,export_container,Unstack,Block,LS4-B6-06-05-3,Yard,LS4-B6-GROUND,LS4-B6,GROUND,0,RTG-02,RTG,0,OP-015,JOB-9D2F3E7E,2025-02-19 07:44:00,2025-02-19 07:44:20,0,0,N/A,Retrieval for repositioning,On Ground,8,Planned,Suboptimal,0,0,80,62.3,44.5,Medium
160,MOV-DC3352BF34,2025-02-19 08:13:52,Yard Shift,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:23:00,2025-02-22 14:23:00,export_container,Transfer,Block,LS4-B6-GROUND,Block,SS2-B1-10-05-3,SS2-B1,10-05,3,RTG-01,RTG,0,OP-010,JOB-9D2F3E7E,2025-02-19 08:13:00,2025-02-19 08:13:52,0,0,N/A,Zone optimization movement,In Yard,29,Planned,Suboptimal,0,0,109,72.7,57.4,Medium
161,MOV-F3340122C7,2025-02-19 08:21:45,Stack,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 09:22:00,2025-02-22 14:23:00,export_container,Stack,Block,SS2-B1-10-05-3,Block,LS4-B5-03-04-4,LS4-B5,03-04,4,RTG-01,RTG,4,OP-013,JOB-9D2F3E7E,2025-02-19 08:21:00,2025-02-19 08:21:45,0,0,N/A,Yard stacking for storage,In Yard,8,Planned,Optimal,0,0,117,71.8,56,Medium
162,MOV-E546A112F2,2025-02-19 08:33:55,Unstack,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:06:00,2025-02-22 14:23:00,export_container,Unstack,Block,LS4-B5-03-04-4,Yard,LS4-B5-GROUND,LS4-B5,GROUND,0,RTG-02,RTG,0,OP-014,JOB-9D2F3E7E,2025-02-19 08:33:00,2025-02-19 08:33:55,0,0,N/A,Retrieval for repositioning,On Ground,12,Planned,Suboptimal,0,0,129,67.7,46.5,Medium
163,MOV-61B7A92315,2025-02-19 08:55:08,Yard Shift,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:52:00,2025-02-22 14:23:00,export_container,Transfer,Block,LS4-B5-GROUND,Block,SS1-B5-08-07-1,SS1-B5,08-07,1,RTG-01,RTG,0,OP-017,JOB-9D2F3E7E,2025-02-19 08:55:00,2025-02-19 08:55:08,0,0,N/A,Zone optimization movement,In Yard,22,Planned,Suboptimal,0,0,151,70.3,44.8,Medium
164,MOV-030A9D1B26,2025-02-19 09:08:28,Stack,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:26:00,2025-02-22 14:23:00,export_container,Stack,Block,SS1-B5-08-07-1,Block,LS4-B7-18-04-2,LS4-B7,18-04,2,RTG-01,RTG,2,OP-008,JOB-9D2F3E7E,2025-02-19 09:08:00,2025-02-19 09:08:28,0,0,N/A,Yard stacking for storage,In Yard,13,Planned,Optimal,0,0,164,74.5,41.2,Medium
165,MOV-82377C18D2,2025-02-19 09:23:17,Unstack,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:49:00,2025-02-22 14:23:00,export_container,Unstack,Block,LS4-B7-18-04-2,Yard,LS4-B7-GROUND,LS4-B7,GROUND,0,RTG-01,RTG,0,OP-003,JOB-9D2F3E7E,2025-02-19 09:23:00,2025-02-19 09:23:17,0,0,N/A,Retrieval for repositioning,On Ground,15,Planned,Suboptimal,0,0,179,70.3,52.9,Medium
166,MOV-0D80B4E6D2,2025-02-19 09:42:13,Rehandle,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:01:00,2025-02-22 14:23:00,export_container,Transfer,Yard,LS4-B7-GROUND,Block,SS2-B2-13-06-2,SS2-B2,13-06,2,RTG-01,RTG,0,OP-014,JOB-9D2F3E7E,2025-02-19 09:42:00,2025-02-19 09:42:13,0,0,N/A,Blocking container removal for access,In Yard,19,Forced,Suboptimal,1,1,198,67.2,57,Medium
167,MOV-5C1115C16D,2025-02-19 09:53:30,Stack,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 07:53:00,2025-02-22 14:23:00,export_container,Stack,Block,SS2-B2-13-06-2,Block,LS4-B4-19-06-1,LS4-B4,19-06,1,RTG-02,RTG,1,OP-012,JOB-9D2F3E7E,2025-02-19 09:53:00,2025-02-19 09:53:30,0,0,N/A,Yard stacking for storage,In Yard,11,Planned,Optimal,0,1,209,68.9,48.7,Medium
168,MOV-6035CECA82,2025-02-19 11:01:14,Pre-Staging,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:27:00,2025-02-22 14:23:00,export_container,Yard Out,Block,LS4-B4-19-06-1,Block,SS4-B5-18-07-2,SS4-B5,18-07,2,RTG-01,RTG,2,OP-014,JOB-9D2F3E7E,2025-02-19 11:01:00,2025-02-19 11:01:14,0,0,N/A,Vessel cutoff preparation - VOY-2502-CLB-41,In Yard,68,Planned,Optimal,0,1,277,75.5,70.4,Medium
169,MOV-DA835D048A,2025-02-19 11:31:46,Vessel Load,CNT-0001,EGLV3995870,42G0,2,Dry,Full,25.5,Heavy,Land-Side,SB557592,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:14:00,2025-02-22 14:23:00,export_container,Vessel Load,Block,SS4-B5-18-07-2,Vessel,V041,SS4-B5,N/A,0,QC-01,QC,0,OP-015,JOB-9D2F3E7E,2025-02-19 11:31:00,2025-02-19 11:31:46,0,0,N/A,Loading to Colombo service,Loaded,30,Planned,Optimal,0,1,307,65.1,33.8,Medium
170,MOV-55780747C6,2025-02-19 14:31:18,Gate In,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:17:00,2025-02-22 14:23:00,export_container,Gate In,Gate,GATE-4,Yard,Land-Side,N/A,N/A,0,TT-08,internal truck,0,OP-001,JOB-E6029300,2025-02-19 14:31:00,2025-02-19 14:31:18,0,0,N/A,Export cargo arrival from CFS/ICD,In Transit,0,Planned,Optimal,0,0,0,77.1,31.6,Medium
171,MOV-603419A058,2025-02-19 14:58:35,Yard In,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 09:14:00,2025-02-22 14:23:00,export_container,Yard In,Yard,Land-Side,Block,LS1-B1-14-01-3,LS1-B1,14-01,3,TT-08,internal truck,0,OP-007,JOB-E6029300,2025-02-19 14:58:00,2025-02-19 14:58:35,0,0,N/A,Initial yard positioning,In Transit,27,Planned,Optimal,0,0,27,71.8,31,Medium
172,MOV-91BFADB814,2025-02-19 15:03:21,Stack,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:43:00,2025-02-22 14:23:00,export_container,Stack,Block,LS1-B1-14-01-3,Block,LS1-B1-10-05-3,LS1-B1,10-05,3,RTG-01,RTG,3,OP-019,JOB-E6029300,2025-02-19 14:06:00,2025-02-19 15:03:21,57,1,Weight stacking violation detected - restacking required,Weight stacking violation detected - restacking required,In Yard,5,Forced,Suboptimal,0,0,32,78.4,25.4,Medium
173,MOV-0C52B1DC02,2025-02-19 15:17:30,Unstack,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:53:00,2025-02-22 14:23:00,export_container,Unstack,Block,LS1-B1-10-05-3,Yard,LS1-B1-GROUND,LS1-B1,GROUND,0,RTG-01,RTG,0,OP-002,JOB-E6029300,2025-02-19 15:17:00,2025-02-19 15:17:30,0,0,N/A,Retrieval for repositioning,On Ground,14,Planned,Suboptimal,0,0,46,82.4,24.8,High
174,MOV-F39702EC04,2025-02-19 15:52:03,Yard Shift,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:59:00,2025-02-22 14:23:00,export_container,Transfer,Block,LS1-B1-GROUND,Block,SS2-B1-15-07-4,SS2-B1,15-07,4,RTG-01,RTG,0,OP-010,JOB-E6029300,2025-02-19 15:52:00,2025-02-19 15:52:03,0,0,N/A,Zone optimization movement,In Yard,35,Planned,Suboptimal,0,0,81,70.1,27.5,Medium
175,MOV-8B3B6633AD,2025-02-19 16:06:21,Stack,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:41:00,2025-02-22 14:23:00,export_container,Stack,Block,SS2-B1-15-07-4,Block,LS1-B1-12-01-2,LS1-B1,12-01,2,RTG-01,RTG,2,OP-018,JOB-E6029300,2025-02-19 16:06:00,2025-02-19 16:06:21,0,0,N/A,Yard stacking for storage,In Yard,14,Planned,Optimal,0,0,95,77,60.9,Medium
176,MOV-AF51EF09F7,2025-02-19 16:13:48,Unstack,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:32:00,2025-02-22 14:23:00,export_container,Unstack,Block,LS1-B1-12-01-2,Yard,LS1-B1-GROUND,LS1-B1,GROUND,0,RTG-01,RTG,0,OP-011,JOB-E6029300,2025-02-19 16:13:00,2025-02-19 16:13:48,0,0,N/A,Retrieval for repositioning,On Ground,7,Planned,Suboptimal,0,0,102,75.9,28.8,Medium
177,MOV-3BA1AA4A9C,2025-02-19 16:50:33,Yard Shift,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:31:00,2025-02-22 14:23:00,export_container,Transfer,Block,LS1-B1-GROUND,Block,SS2-B1-15-07-3,SS2-B1,15-07,3,RTG-01,RTG,0,OP-006,JOB-E6029300,2025-02-19 16:50:00,2025-02-19 16:50:33,0,0,N/A,Zone optimization movement,In Yard,37,Planned,Suboptimal,0,0,139,70.6,27.8,Medium
178,MOV-B55319340D,2025-02-19 16:56:21,Stack,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:54:00,2025-02-22 14:23:00,export_container,Stack,Block,SS2-B1-15-07-3,Block,LS1-B1-17-01-4,LS1-B1,17-01,4,RTG-01,RTG,4,OP-017,JOB-E6029300,2025-02-19 16:56:00,2025-02-19 16:56:21,0,0,N/A,Yard stacking for storage,In Yard,6,Planned,Optimal,0,0,145,71.8,57.6,Medium
179,MOV-D2739E1325,2025-02-19 17:05:08,Unstack,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:19:00,2025-02-22 14:23:00,export_container,Unstack,Block,LS1-B1-17-01-4,Yard,LS1-B1-GROUND,LS1-B1,GROUND,0,RTG-09,RTG,0,OP-002,JOB-E6029300,2025-02-19 17:05:00,2025-02-19 17:05:08,0,0,N/A,Retrieval for repositioning,On Ground,9,Planned,Suboptimal,0,0,154,76.4,31.6,Medium
180,MOV-8FADBF6814,2025-02-19 17:29:33,Rehandle,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 09:17:00,2025-02-22 14:23:00,export_container,Transfer,Yard,LS1-B1-GROUND,Block,LS1-B1-11-04-1,LS1-B1,11-04,1,RTG-01,RTG,0,OP-010,JOB-E6029300,2025-02-19 17:29:00,2025-02-19 17:29:33,0,0,N/A,Blocking container removal for access,In Yard,24,Forced,Suboptimal,1,1,178,76.9,24,Medium
181,MOV-12DD036643,2025-02-19 17:34:28,Stack,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 09:18:00,2025-02-22 14:23:00,export_container,Stack,Block,LS1-B1-11-04-1,Block,LS1-B1-07-03-3,LS1-B1,07-03,3,RTG-01,RTG,3,OP-004,JOB-E6029300,2025-02-19 17:34:00,2025-02-19 17:34:28,0,0,N/A,Yard stacking for storage,In Yard,5,Planned,Optimal,0,1,183,75.5,31.8,Medium
182,MOV-5693167C77,2025-02-19 17:43:35,Unstack,CNT-0043,MAEU9114518,45R1,2,Reefer,Full,27.3,Heavy,Land-Side,SB372273,V041,VOY-2502-CLB-41,Colombo,1,2025-02-22 08:23:00,2025-02-22 08:58:00,2025-02-22 14:23:00,export_container,Unstack,Block,LS1-B1-07-03-3,Yard,LS1-B1-GROUND,LS1-B1,GROUND,0,RTG-09,RTG,0,OP-004,JOB-E6029300,2025-02-19 17:43:00,2025-02-19 17:43:35,0,0,N/A,Retrieval for repositioning,On Ground,9,Forced,Forced,1,1,192,71,23,Medium
